ExciseTaxNbr,Month,Day,Year,SalePrice,PropertyType,PropertyClass,PrincipalUse,SaleInstrument,SaleReason,AFHistoricProperty
2252406,11,16,2006,690576,2,8,6,3,1,N
3110091,03,29,2021,620000,11,8,6,2,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2421752,12,16,2009,2340000,1,7,6,3,1,N
2324275,12,05,2007,650000,3,8,6,3,1,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
952729,07,10,1987,0,3,3,0,15,18,N
2163790,10,19,2005,394995,2,8,6,3,1,N
1965001,05,22,2003,0,3,8,6,15,5,N
2739134,06,22,2015,0,3,8,6,15,18,N
1780282,10,03,2000,292500,2,8,6,3,1,N
1506375,09,18,1996,304000,1,7,6,3,1,N
2222499,07,11,2006,0,3,8,6,15,13,N
2507747,08,25,2011,107000,3,3,2,3,1,N
2899303,10,30,2017,375000,3,8,6,3,1,N
2343480,04,21,2008,0,3,8,6,22,18,N
1440676,07,21,1995,164500,3,8,6,2,1,N
2230580,08,11,2006,140000,3,8,6,3,1,N
3000673,06,26,2019,185000,3,3,2,3,1,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2428402,02,05,2010,0,3,3,2,18,4,N
2642952,11,20,2013,699950,2,8,6,3,1,N
1381073,06,16,1994,125000,3,8,6,2,1,N
2496482,06,09,2011,542200,3,8,6,3,1, 
1970507,06,25,2003,443000,3,8,6,3,1,N
1701215,07,08,1999,225000,3,8,6,3,1,N
2841697,12,21,2016,818161,2,8,6,3,1,N
1796451,01,04,2001,129950,3,8,6,3,1,N
2130947,06,10,2005,1650000,3,8,6,3,1,N
1307121,05,05,1993,0,3,8,6,15,9,N
1890747,05,24,2002,589950,3,8,6,3,1,N
2826129,10,03,2016,0,3,3,2,15,18,N
2131180,06,10,2005,2025000,1,7,6,3,1,N
2131180,06,10,2005,2025000,1,7,6,3,1,N
2131180,06,10,2005,2025000,1,7,6,3,1,N
2131180,06,10,2005,2025000,1,7,6,3,1,N
2131180,06,10,2005,2025000,1,7,6,3,1,N
2131180,06,10,2005,2025000,1,7,6,3,1,N
2131180,06,10,2005,2025000,1,7,6,3,1,N
2131180,06,10,2005,2025000,1,7,6,3,1,N
2131180,06,10,2005,2025000,1,7,6,3,1,N
2860712,03,15,2017,0,3,8,6,15,11,N
2644191,12,05,2013,0,3,8,6,7,5,N
1663610,01,19,1999,129950,3,8,6,3,1,N
2629659,09,09,2013,285123,3,8,6,18,4,N
1565581,09,03,1997,413530,1,7,6,3,1,N
1618966,06,12,1998,189950,3,8,6,3,1,N
1823086,06,07,2001,0,3,8,6,15,10,N
2478024,02,08,2011,0,3,8,6,24,8,N
1437915,07,12,1995,0,3,8,6,3,5,N
1739890,03,01,2000,139950,3,9,6,3,1,N
2209493,05,14,2006,830000,3,8,6,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
1504229,09,05,1996,7330250,3,3,2,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
2043998,05,27,2004,5518000,1,7,6,3,1,N
1704512,08,11,1999,361102,2,8,6,3,1,N
1891644,05,25,2002,1000,1,7,10,15,14,N
2671538,05,30,2014,1365000,3,8,6,3,1, 
2247625,04,06,2005,0,3,8,6,3,16,N
1506375,09,18,1996,304000,1,7,6,3,1,N
1506375,09,18,1996,304000,1,7,6,3,1,N
1606757,04,17,1998,0,3,0,0,2,16,N
2963345,11,16,2018,0,14,3,2,15,1,N
797520,10,22,1984,159000,3,8,6,2,1, 
1727909,12,17,1999,550000,3,8,6,3,1,N
1942556,02,25,2003,290990,2,8,6,3,1,N
1319507,07,15,1993,200000,3,8,0,2,18,N
3064586,08,17,2020,750000,11,8,6,2,1,N
1997164,10,14,2003,830000,3,8,6,3,1,N
2284706,01,30,2007,0,3,8,6,15,18,N
1629162,07,28,1998,170000,3,3,2,3,1,N
2877633,07,15,2017,1500,12,3,2,15,18,N
2080184,10,18,2004,408000,3,8,6,3,1,N
3050665,06,05,2020,660000,11,8,6,2,1,N
1775364,08,25,2000,190000,3,3,2,3,1,N
1195958,06,18,1991,0,3,8,6,15,9,N
1928230,12,12,2002,0,3,8,6,15,11,N
1628861,07,28,1998,0,3,3,6,15,18,N
3073450,09,29,2020,0,11,8,6,15,18,N
